version: 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
題組,類別,"題型:
(1)是非
(2)單選
(3)複選
(4)填充
(5)問答
(6)說明
(7)題組",題目,"答案
若為是非題:
(1)答案為是
(2)答案為否","解說
(說明沒有解說)","難易度:
(1)容易
(2)適中
(3)困難","選項1
若為填充題:
(1)區分英文大小寫
(2)不分英文大小寫","選項2
若為填充題:
(1)需考慮順序
(2)不考慮順序",選項3,選項4,選項5,選項6,選項7,選項8,選項9,選項10,選項11,選項12,選項13,選項14,選項15,選項16,選項17,選項18,選項19,選項20,分數 (僅支援自訂配分)
,,2,"若z_1 = 2 + 3i, z_2 = 4 - 7i =&gt; |z_1| / |z_2| =",1,無,2,1/sqrt(5) ,1/5,sqrt(5),5,,,,,,,,,,,,,,,,,0
,,2,$\cos\frac{2𝜋}{5}$,2,Let $𝜔=e^{i\frac{2𝜋}{5}}=\cos\frac{2𝜋}{5}+i\sin\frac{2𝜋}{5}$ .,2,$\frac{-1-\sqrt{5}}{4}$,$\frac{-1+\sqrt{5}}{4}$,$\frac{1-\sqrt{5}}{4}$,$\frac{1+\sqrt{5}}{4}$,,,,,,,,,,,,,,,,,0
,,2,"If $x<y$ and $n$ is odd, what could we say about  $x^n<y^n$ ?",3,"Discuss three cases $0≤x<y$ , $x<0<y$ , and $x<y≤0$ seperately.",2,$x^n<y^n$ never true,$x^n<y^n$ sometimes true and sometimes false,$x^n<y^n$ always true,,,,,,,,,,,,,,,,,,0
,,1,"  If $x=f(t){\rm \; and\; }y=g(t)$, then we can find a function $h$ such that $y=h(x)$.  ",1,​,2,,,,,,,,,,,,,,,,,,,,,0
,,2,"若$z_{1} =2+3i,\; z_{2} =4-7i$，則$\frac{\left|z_{1} \right|}{\left|z_{2} \right|}$=",1,​,2,$\frac{1}{\sqrt{5} }$,$\frac{1}{5}$,$\sqrt{5}$, $5$,,,,,,,,,,,,,,,,,0
,,2,1到100之中，為2的倍數但不為3且不為5的倍數有幾個,3,​,2,30,23,27,24,,,,,,,,,,,,,,,,,0
,,2,"若$f\left(x\right)=\left\{\begin{array}{c} {x^{3} +1,\quad x\le 0} \\ {2+x,\quad 0<x<2} \\ {4,\quad x\ge 2} \end{array}\right.$，則 $f\left(f\left(0\right)\right)+f\left(f\left(3\right)\right)$=?",4,​,2,1,3,5,7,,,,,,,,,,,,,,,,,0
,,2, 設 x 與  y 均為實數，則$\left|x-y\right|=\left|x\right|+\left|y\right|$成立的充分必要條件是：,2,​,2,$xy\ge 0$,$xy\le 0$,$xy>0$,$xy<0$,,,,,,,,,,,,,,,,,0
,,2,一自然數$\textit{n}$以3除之餘2，以5除之餘3，以7除之餘4，則此種$\textit{n}$介於400至1000共有多少個,2,​,2,5,6,7,8,,,,,,,,,,,,,,,,,0
